timestamp,hand_detected,cursor_held,finger_mode,index_extended,middle_extended,raw_x,raw_y,virtual_x,virtual_y,inside_window,inside_interaction,state,target_block
8914.597,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8914.777,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8914.893,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8915.081,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8915.184,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8915.291,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8915.490,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8915.697,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8915.881,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8915.981,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8916.096,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8916.291,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8916.492,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8916.682,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8916.785,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8916.982,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8917.086,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8917.285,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8917.390,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8917.577,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8917.688,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8917.881,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8918.089,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8918.278,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8918.497,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
